,Title,Published_date,Views,Likes,Comments
169,"NDA Waalon, SWAGAT Nahi Karoge Hamara?? Check Description !!! Independence Day Special 🇮🇳🇮🇳",2021-08-15T11:47:15Z,1029753,107811,9446
170,"We Tried Something NEW - Padhai Kare, Bewakoofi Nahi !!!",2021-08-11T16:07:01Z,1345345,125252,6872
171,The BACKLOG Express - Introducing New Feature at PW App 🙏🔥,2021-08-09T15:02:35Z,773119,81495,8582
172,"Jo Kahte the PW se Padhkar Selection nahi Hoga, They Should Watch this LIVE🔥| Results still Counting",2021-08-07T16:26:47Z,1142140,93743,5290
173,Welcome to KOTA Junction 🔥🙏,2021-08-03T17:57:00Z,2351362,234604,20555
174,LAKSHYA 2.O - Complete Class 12th + JEE/NEET @Rs 3500 || on PhysicsWallah App 🔥,2021-07-21T15:44:18Z,656501,48211,4368
175,WE ARE COMING BACK - Ab Kisi Ka Selection Nahi Rukega !!! LAKSHYA 2.O 🔥 Check Description,2021-07-18T14:21:49Z,552504,32901,3449
176,Two Surprises Revealed 💥 !!  Scholarships from PhysicsWallah 🎁🎁 - FREE FOR ALL,2021-07-11T18:32:53Z,743082,66474,5690
177,Big SURPRISE For All JEE Aspirants 🎁,2021-07-09T15:51:19Z,493805,39454,2958
178,Launching @NCERTWallahPW !!! Sankalp Batch for Class 12th NCERT - FREE 🙏🔥,2021-07-04T15:34:53Z,636334,56244,5327
179,REVOLUTION CONTINUED... Something BIG Again !!! @NCERTWallahPW,2021-06-29T14:30:16Z,507880,39278,4189
180,WARNING! Only for Class 10th Students 🔥,2021-06-18T12:46:58Z,1180454,55622,3881
181,YAKEEN is Back - NEET 2022 Dropper Batch | on PW Mobile App,2021-06-10T15:41:46Z,585536,44796,5719
182,Rotational Motion - Part 2 | Next Class will be on @PW-NEETWallah || NEET Physics Crash Course,2021-06-08T19:15:52Z,1937251,56312,3188
183,"Once Again, We're READY to Go 🔥 NEET 2022 DROPPER - Check Description!!!",2021-06-07T15:37:43Z,353895,30734,3230
184,Rotational Motion - 01  || Torque and Moment Of Inertia ||  NEET Physics Crash Course,2021-06-06T18:17:24Z,2654568,74471,2932
185,"COLLISIONS in ONE SHOT || All Concepts , Formulae , PYQs || NEET Physics Crash Course",2021-06-04T03:33:03Z,1348071,37565,3139
186,Class 12 BOARDS EXAM CANCELLED !! Ab Aage kya  - Drop or NO Drop ??,2021-06-02T14:27:45Z,553443,49204,5447
187,"Centre Of Mass - 1 SHOT || All Concepts , Formulae , Tricks and PYQs || NEET Physics Crash Course",2021-06-01T17:46:30Z,2188214,68785,2463
188,"Work Energy and Power 02 || Conservation of Mechanical Energy , Power|| NEET Physics Crash Course",2021-05-30T04:39:16Z,1430623,37468,2863
189,"Work Energy and Power 01|| Work ,Kinetic Energy, Work-Energy Theorem || NEET Physics Crash Course",2021-05-26T16:50:48Z,3066614,84815,4332
190,MANZIL - JEE 2021 Crash Course | Check Description !!! On @PW-JEEWallah  🙏,2021-05-25T14:51:20Z,454446,37626,3418
191,CIRCULAR MOTION 02 || Banking Of Road and  Motion in a Vertical Circle || NEET Physics Crash Course,2021-05-24T17:40:04Z,946758,27680,2919
192,CIRCULAR MOTION 01 || Centriprtal Acceleration & Centripetal Force || NEET Physics Crash Course,2021-05-22T18:58:17Z,1907119,51471,2794
193,Launching DROPPER Batch for JEE Mains/Advanced 2022 | Prayas Batch on PW App,2021-05-21T16:18:17Z,385973,29985,4901
194,"FRICTION IN ONE SHOT || All Concepts , Tricks , Mentoz Methods and PYQ || NEET Physics Crash Course",2021-05-20T16:35:18Z,2242620,82276,3279
195,"LAWS OF MOTION 02 || SPRING FORCE , PSEUDO FORCE , ROCKET PROPULSION || NEET Physics Crash Course",2021-05-19T00:33:43Z,1617416,51524,4019
